id,code,affiliate_name,abbreviation,location,num_department,num_authors,SINTA_score_3yr,SINTA_score_overall
384,001001,Universitas Gadjah Mada,UGM,"KAB. SLEMAN - DAERAH ISTIMEWA YOGYAKARTA, ID",291,3,1.230.039,4.280.397
380,001004,Universitas Airlangga,UNAIR,"KOTA SURABAYA - JAWA TIMUR, ID",199,2,1.179.067,2.635.269
428,002003,Institut Pertanian Bogor,IPB,"KAB. BOGOR - JAWA BARAT, ID",184,1,1.135.499,3.079.899
430,001002,Universitas Indonesia,UI,"KOTA ADM. JAKARTA PUSAT - DKI JAKARTA, ID",267,3,1.105.741,3.134.058
404,001019,Universitas Brawijaya,UB,"KOTA MALANG - JAWA TIMUR, ID",193,2,770.270,1.875.975
394,001006,Universitas Andalas,UNAND,"KOTA PADANG - SUMATERA BARAT, ID",154,1,734.723,1.618.671
417,002002,Institut Teknologi Sepuluh Nopember,ITS SURABAYA,"KOTA SURABAYA - JAWA TIMUR, ID",102,1,732.119,1.901.057
481,001007,Universitas Padjadjaran,UNPAD,"KAB. SUMEDANG - JAWA BARAT, ID",207,2,651.420,1.891.771
438,001033,Universitas Negeri Malang,UM,"KOTA MALANG - JAWA TIMUR, ID",139,1,642.648,1.284.183
379,002001,Institut Teknologi Bandung,ITB,"KOTA BANDUNG - JAWA BARAT, ID",138,1,637.609,2.332.538
6,001008,Universitas Diponegoro,UNDIP,"KOTA SEMARANG - JAWA TENGAH, ID",182,1,603.552,1.903.072
385,001005,Universitas Hasanuddin,UNHAS,"KOTA MAKASSAR - SULAWESI SELATAN, ID",234,2,601.789,1.529.889
414,001034,Universitas Pendidikan Indonesia,UPI,"KOTA BANDUNG - JAWA BARAT, ID",178,1,597.466,1.325.326
403,071004,Universitas Surabaya,UBAYA,"KOTA SURABAYA - JAWA TIMUR, ID",34,405,540.541,994.433
8,001027,Universitas Sebelas Maret,UNS,"KOTA SURAKARTA - JAWA TENGAH, ID",208,2,531.072,1.657.507
497,001032,Universitas Negeri Padang,UNP,"KOTA PADANG - SUMATERA BARAT, ID",151,1,522.410,1.200.205
27,061008,Universitas Muhammadiyah Surakarta,UMS,"KAB. SUKOHARJO - JAWA TENGAH, ID",76,880,516.518,1.050.350
1093,041057,Universitas Telkom,TEL-U,"KAB. BANDUNG - JAWA BARAT, ID",82,1,504.852,1.126.488
476,031015,Universitas Tarumanagara,UNTAR,"KOTA ADM. JAKARTA BARAT - DKI JAKARTA, ID",33,456,492.136,765.021
436,001036,Universitas Negeri Makassar,UNM,"KOTA MAKASSAR - SULAWESI SELATAN, ID",127,1,461.771,879.238
9,001041,Universitas Negeri Semarang,UNNES,"KOTA SEMARANG - JAWA TENGAH, ID",124,1,440.449,1.343.823
388,031038,Universitas Bina Nusantara,BINUS,"KOTA ADM. JAKARTA BARAT - DKI JAKARTA, ID",57,1,431.804,937.096
499,001039,Universitas Negeri Surabaya,UNESA,"KOTA SURABAYA - JAWA TIMUR, ID",177,1,431.211,910.590
381,001038,Universitas Negeri Yogyakarta,UNY,"KAB. SLEMAN - DAERAH ISTIMEWA YOGYAKARTA, ID",152,1,431.139,1.041.477
441,001003,Universitas Sumatera Utara,USU,"KOTA MEDAN - SUMATERA UTARA, ID",176,2,430.007,1.158.763
1246,041033,Universitas Pamulang,UNPAM,"KOTA TANGERANG - BANTEN, ID",41,2,425.274,749.617
435,001037,Universitas Negeri Jakarta,UNJ,"KOTA ADM. JAKARTA TIMUR - DKI JAKARTA, ID",119,1,404.162,887.318
406,001025,Universitas Jember,UNEJ,"KAB. JEMBER - JAWA TIMUR, ID",116,1,375.463,903.187
439,001010,Universitas Lambung Mangkurat,ULM,"KOTA BANJARMASIN - KALIMANTAN SELATAN, ID",125,1,372.284,937.372
433,001013,Universitas Udayana,UNUD,"KAB. BADUNG - BALI, ID",164,2,365.059,1.234.158
399,001016,Universitas Mataram,UNRAM,"KOTA MATARAM - NUSA TENGGARA BARAT, ID",81,1,352.185,829.070
475,001022,Universitas Tanjungpura,UNTAN,"KOTA PONTIANAK - KALIMANTAN BARAT, ID",101,1,334.592,696.073
415,001017,Universitas Riau,UNRI,"KOTA PEKANBARU - RIAU, ID",117,1,332.427,922.759
3512,201002,Universitas Islam Negeri Sunan Kalijaga,UIN SUNAN KALIJAGA,"KAB. SLEMAN - DAERAH ISTIMEWA YOGYAKARTA, ID",73,807,329.400,569.539
442,001011,Universitas Syiah Kuala,USK,"KOTA BANDA ACEH - ACEH, ID",150,2,319.757,860.729
2053,071024,Universitas Muhammadiyah Malang,UMM,"KOTA MALANG - JAWA TIMUR, ID",66,821,319.088,723.716
581,011003,Universitas Muhammadiyah Sumatera Utara,UMSU,"KOTA MEDAN - SUMATERA UTARA, ID",47,623,312.595,549.875
